"time_5yr","woman_age_ab_bin","rural","births","deaths","nmr_smoothed","births_smoothed","births_total","gamma_m2","gamma_m1","rural_ch","gamma_m0"
"1996-2000","25-29",1,2071,75,0.0288983748189873,1994,9476,0.210426340227944,0.229149519890261,"rural",0.21855213170114
"1996-2000","30-34",0,124,2,0.0258556372732663,248,1783,0.139091418956814,0.12866568914956,"urban",0.0695457094784072
"1996-2000","30-34",1,802,24,0.0337939093613151,1315,9476,0.138771633600675,0.158367626886145,"rural",0.0846348670325032
"2001-2005","10-14",0,53,0,0.0545212641665218,41,2381,0.0172196556068879,0.0124633431085044,"urban",0.0222595548089038
"2001-2005","10-14",1,273,19,0.0706779934790272,216,12646,0.0170804997627708,0.0124142661179698,"rural",0.0215878538668354
"2001-2005","15-19",0,544,16,0.0304698942791374,537,2381,0.225535489290214,0.216275659824047,"urban",0.22847543049139
"2001-2005","15-19",1,2764,101,0.0397485398396726,2851,12646,0.225446781591017,0.198422496570645,"rural",0.218567135853234
"2001-2005","20-24",0,869,9,0.0194168141672533,731,2381,0.307013859722806,0.341275659824047,"urban",0.364972700545989
"2001-2005","20-24",1,4030,93,0.0254195702069715,3884,12646,0.307132690178713,0.291015089163237,"rural",0.318677842796141
"2001-2005","25-29",0,509,15,0.0198333106785316,501,2381,0.210415791684166,0.234604105571848,"urban",0.21377572448551
"2001-2005","25-29",1,2766,64,0.025965520434265,2662,12646,0.210501344298592,0.229149519890261,"rural",0.218725288628815
"2001-2005","30-34",0,270,7,0.023226528126416,331,2381,0.139017219655607,0.12866568914956,"urban",0.113397732045359
"2001-2005","30-34",1,1810,61,0.030384716718016,1761,12646,0.139253518899257,0.158367626886145,"rural",0.143128261900996
"2001-2005","35-39",0,75,0,0.0270071239551706,168,2381,0.0705585888282234,0.0524193548387097,"urban",0.0314993700125997
"2001-2005","35-39",1,609,20,0.0353006622920779,890,12646,0.0703779851336391,0.0871742112482853,"rural",0.0481575201644789
"2006-2010","10-14",0,34,1,0.049941211435835,47,2752,0.017078488372093,0.0124633431085044,"urban",0.0123546511627907
"2006-2010","10-14",1,181,14,0.0648309835080623,250,14615,0.017105713308245,0.0124142661179698,"rural",0.0123845364351693
"2006-2010","15-19",0,590,12,0.0278465093072239,621,2752,0.225654069767442,0.216275659824047,"urban",0.214389534883721
"2006-2010","15-19",1,2893,104,0.0363626396333057,3290,14615,0.225111187136504,0.198422496570645,"rural",0.197947314403011
"2006-2010","20-24",0,931,20,0.0177287490595377,845,2752,0.307049418604651,0.341275659824047,"urban",0.338299418604651
